pasta;tube_1;cap_1;material_1;color_1;color_2;rating
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;5
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;3
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;5
pasta01;1;0;1;0;1;3
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;5
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;3
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;5
pasta01;1;0;1;0;1;3
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;5
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;3
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;5
pasta01;1;0;1;0;1;3
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;10
pasta01;1;0;1;0;1;10
pasta02;1;1;0;0;0;9
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;10
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;10
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;9
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;9
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;10
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;10
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;9
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;10
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;10
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;9
pasta02;1;1;0;0;0;3
pasta02;1;1;0;0;0;9
pasta02;1;1;0;0;0;3
pasta03;1;1;1;1;0;3
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;3
pasta03;1;1;1;1;0;5
pasta03;1;1;1;1;0;3
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;3
pasta03;1;1;1;1;0;5
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;9
pasta03;1;1;1;1;0;3
pasta03;1;1;1;1;0;5
pasta03;1;1;1;1;0;3
pasta03;1;1;1;1;0;9
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;5
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;5
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
